06/07/21, s_m_P_FF_TS_IB_Bkgss_CY1, Source_RowCount= 1331282, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/07/21, s_m_P_FF_TS_IB_Bkgss_CY2, Source_RowCount= 6078, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/07/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/07/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_CY, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/07/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_CY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/07/21, s_m_P_FF_TO_ANAPLAN_CX_SW_ATR, Source_RowCount= 0, Source_RejectedRowCount= 866958 , Target_RowCount= 0, Target_RejectedRowCount= 0
06/07/21, s_m_P_FF_TO_ANAPLAN_CX_SW_ATR, Source_RowCount= 861774, Source_RejectedRowCount= 1 , Target_RowCount= 861774, Target_RejectedRowCount= 0
06/07/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= 17735, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/14/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= 4439293, Target_RejectedRowCount= 0
06/14/21, s_m_P_FF_TO_ANAPLAN_CX_AS_ATR, Source_RowCount= 14301, Source_RejectedRowCount= 0, Target_RowCount= 14301, Target_RejectedRowCount= 0
